Square_Feet,Bedrooms,House_Age,Has_Pool,Neighborhood_Score,Price_USD
1660,2,3,0,1,292547
4572,5,33,0,3,767510
3892,1,47,0,4,609671
1266,1,17,0,5,212897
4244,1,39,0,3,644986
3971,1,34,0,6,650485
3719,1,40,1,5,582446
930,5,28,0,3,225053
2485,3,28,0,6,437031
1569,2,37,0,6,301054
3191,1,41,0,8,519432
3233,3,20,0,2,530118
1984,3,41,0,1,328021
4185,2,12,1,4,717894
4917,5,48,0,7,792787
3704,4,40,0,10,670875
1274,4,16,1,3,277333
1882,3,8,0,3,324055
3358,2,40,1,5,589425
2847,4,0,0,5,523296
3547,3,1,1,10,671398
1775,5,47,0,3,309481
2606,4,28,1,9,498755
989,3,32,1,4,213457
3534,3,9,0,3,589347
3805,1,49,1,2,597921
2699,5,39,0,10,492020
2067,1,20,0,9,392005
2328,2,27,0,4,404040
4002,1,10,0,3,639387
4356,1,33,0,7,700427
4690,4,7,0,8,808832
1446,3,21,0,2,256825
3688,5,7,1,7,705141
3235,1,48,1,5,525830
1400,5,14,0,5,302086
3163,1,16,0,3,507416
2861,2,22,0,5,472330
1041,1,23,0,2,218381
2841,4,44,0,4,478361
3624,3,18,0,6,605633
3412,2,4,0,1,576317
2163,1,31,1,10,428180
2278,5,43,0,4,402612
3356,2,0,0,6,614010
1575,2,22,0,9,291707
4814,1,36,0,2,709030
834,2,7,0,7,215607
3952,5,12,0,6,702547
2755,2,7,0,2,424757
2385,5,22,0,8,451996
4743,1,42,1,7,755920
3873,3,0,1,5,680070
1821,2,44,0,5,290184
4261,3,23,0,7,725486
3413,5,34,0,9,590888
4643,2,23,0,9,759103
2300,4,16,0,9,426517
961,3,4,0,6,258383
2781,2,19,0,10,510869
1795,3,20,0,6,307864
4142,2,39,0,3,634766
4598,1,30,1,1,741627
2075,3,45,1,7,406470
1816,4,35,1,4,368012
1137,4,10,0,1,238214
1678,5,14,1,8,360929
1876,2,18,0,6,362853
4793,3,6,1,6,832296
