Weight_KG,Horsepower,Cylinders,Aero_Score,Is_Hybrid,MPG
2126,322,6,4.1,0,17.4
2459,110,8,5.1,1,37.2
1860,119,6,7.7,0,26.9
2294,308,6,6.9,0,14.6
2130,115,6,6.6,0,26.4
2095,302,4,4.2,0,13.9
2044,85,4,8.6,0,23.5
1121,299,8,5.2,0,26.3
1466,154,8,9.8,0,30.1
2238,83,4,6.7,1,34.2
1330,213,8,2.1,0,26.3
2482,197,4,7.1,0,18.4
1087,173,6,3.9,0,33.0
2396,141,6,7.2,0,20.6
2123,273,8,1.6,0,15.3
1871,282,4,2.6,0,21.1
1130,105,4,8.7,0,33.3
2332,252,8,3.0,0,12.4
1769,379,4,8.5,0,22.6
1343,212,6,3.5,0,29.3
2437,197,8,6.8,1,28.5
1805,354,8,7.2,1,31.2
1385,291,4,5.6,0,23.4
2215,304,8,3.7,0,16.3
1955,99,4,2.9,0,27.4
1276,192,4,1.3,0,28.5
2184,219,4,3.7,0,20.5
1459,126,4,6.9,0,31.7
2337,80,4,9.4,0,24.0
1021,169,8,8.8,0,36.3
1252,221,6,7.9,0,31.3
1747,399,6,8.1,1,34.5
1856,117,8,7.0,0,25.5
1474,372,8,3.3,0,17.3
2082,218,6,9.2,1,36.3
1510,338,6,7.0,1,36.0
2499,240,6,6.0,0,15.2
1699,257,6,2.0,0,20.8
1975,89,6,5.0,0,30.2
1189,340,4,5.1,1,36.2
1957,217,8,8.8,1,33.6
1686,251,4,5.9,0,23.7
1957,92,6,4.4,0,27.2
1562,247,6,9.8,0,31.4
2267,209,6,2.0,0,18.4
1831,163,4,4.8,0,21.7
2154,398,4,1.4,1,28.2
1646,180,6,7.7,0,26.9
1020,352,4,9.3,1,39.2
1840,344,4,3.5,1,27.9
1166,117,6,8.7,0,35.9
2297,173,4,3.6,0,19.1
1387,174,8,9.2,0,31.2
1600,384,8,7.8,0,23.9
1315,148,8,8.2,0,29.9
1013,397,8,1.2,0,26.3
1241,315,6,9.7,0,26.9
1776,216,6,7.5,0,28.9
2369,155,6,3.7,0,19.7
1564,114,8,8.5,0,28.3
1897,80,8,3.5,0,21.3
2363,375,4,8.9,0,16.2
1091,399,4,2.0,0,22.4
2390,139,8,7.3,0,20.3
1955,399,8,5.9,0,17.9
2478,346,8,1.9,0,12.8
2451,308,8,3.2,0,15.3
1508,349,4,1.1,0,17.7
1775,395,8,5.2,1,32.9
1034,365,4,3.7,0,24.4
1205,370,8,6.4,0,20.5
2104,292,8,3.7,0,14.7
2411,244,8,3.7,0,15.9
2025,84,4,7.7,0,24.1
2021,157,4,1.4,0,20.6
2413,141,6,9.1,0,21.9
1565,211,8,8.7,0,27.0
2129,168,6,7.0,0,21.2
1702,316,6,6.3,0,19.2
1401,121,4,9.0,0,31.9
1729,168,4,2.7,1,31.9
1161,375,6,1.7,0,21.6
1201,374,8,3.2,0,21.5
1995,183,4,8.2,0,23.2
1269,93,8,1.3,0,29.7
1815,367,8,6.2,0,20.9
2294,258,6,10.0,0,22.5
1455,204,6,8.7,0,26.4
2485,102,6,5.7,0,23.9
2275,142,6,1.6,0,17.2
2016,222,4,8.5,0,22.8
1295,232,4,6.4,1,41.3
1719,224,6,2.0,0,27.0
1337,304,4,1.8,0,22.3
1878,388,6,9.2,0,15.6
2076,183,8,7.0,0,25.2
1791,183,8,8.5,0,24.2
1216,118,8,8.9,0,33.0
1763,277,6,6.1,0,19.9
1187,213,8,5.7,0,28.9
1379,146,4,4.9,0,27.6
1492,258,8,3.9,0,25.6
2064,121,8,4.9,1,35.3
2180,94,8,8.0,0,23.0
1014,190,4,6.4,0,34.4
1064,236,6,9.0,0,32.3
1520,368,4,5.0,0,17.6
2367,310,6,6.5,0,17.1
2152,236,6,6.7,0,20.1
1647,117,8,6.3,0,31.0
