Speed_kmh,Fuel_Consumed
84.9,6.6
154.1,11.3
127.8,8.51
111.8,7.36
58.7,8.0
58.7,8.2
47.0,9.24
143.9,10.47
112.1,7.11
125.0,7.43
42.5,9.61
156.4,12.31
139.9,9.84
65.5,6.77
61.8,7.1
62.0,7.94
76.5,6.72
103.0,6.99
91.8,6.52
74.9,6.81
113.4,7.59
56.7,7.73
75.1,6.83
84.0,6.36
94.7,6.36
134.2,8.92
64.0,7.47
101.7,6.49
111.1,7.58
45.6,8.71
112.9,7.11
60.5,7.46
47.8,9.39
153.9,11.88
155.9,12.55
137.0,8.78
76.6,6.84
51.7,8.76
122.1,7.87
92.8,6.94
54.6,7.92
99.4,7.18
44.1,10.16
149.1,10.9
71.1,6.79
119.5,8.21
77.4,7.34
102.4,6.49
105.6,6.65
62.2,7.39
156.4,11.69
133.0,8.54
152.7,11.22
147.4,10.47
111.7,7.1
150.6,11.37
50.6,9.14
63.5,7.01
45.4,9.48
79.0,6.57
86.6,6.49
72.6,7.17
139.4,9.23
82.8,6.72
73.7,6.91
105.1,6.99
56.9,8.04
136.3,10.26
48.9,8.44
158.4,12.37
132.7,8.62
63.8,7.17
40.7,9.41
137.9,9.95
124.8,8.64
127.5,8.1
132.6,8.52
48.9,8.89
83.0,6.34
53.9,8.45
143.6,10.31
114.8,6.69
79.7,7.26
47.6,9.55
77.3,6.46
79.0,6.5
127.6,8.45
116.5,7.55
146.5,10.91
96.7,7.36
54.4,8.08
125.6,7.83
131.3,8.17
107.4,6.6
132.5,8.84
99.3,7.33
102.7,6.5
91.3,6.59
43.1,9.36
52.9,8.76
43.8,10.29
116.4,7.19
77.7,6.5
101.0,7.08
148.9,11.28
69.9,7.76
89.2,6.73
130.7,8.51
67.5,7.4
49.2,9.1
74.8,7.13
59.3,7.92
151.6,11.85
137.0,9.84
116.0,7.93
144.6,10.63
136.4,9.24
62.4,7.55
147.1,11.22
104.7,6.45
136.9,9.51
147.5,10.65
78.2,6.69
53.2,8.77
67.4,7.24
91.3,6.52
138.2,8.97
143.3,10.49
40.8,9.9
101.3,7.53
90.1,6.38
66.7,7.3
54.4,8.25
80.5,7.25
153.1,11.65
78.8,6.78
102.3,6.94
124.4,8.11
83.6,6.37
156.6,12.35
155.5,12.51
70.2,6.6
99.7,6.67
76.1,6.47
74.2,7.3
44.4,8.59
113.1,6.97
100.3,6.79
46.2,9.62
73.4,6.83
149.0,10.8
68.7,7.84
57.4,7.3
98.7,5.72
158.3,12.74
69.0,6.87
120.7,7.31
131.4,9.01
68.5,7.2
127.4,8.09
84.1,6.03
115.9,7.72
116.0,7.64
104.3,6.73
50.8,9.23
140.2,9.35
78.5,6.06
62.4,7.21
44.9,9.13
110.9,7.17
121.3,7.68
42.0,9.64
101.5,6.17
67.2,7.75
117.4,7.44
60.9,8.05
122.9,8.05
86.4,6.7
152.4,11.79
56.5,8.14
80.9,6.86
53.6,8.75
151.0,11.41
145.3,10.76
71.0,6.94
119.2,8.18
138.1,9.23
106.6,7.58
103.6,6.72
69.0,6.5
51.2,8.51
147.7,10.55
148.1,11.22
116.0,7.12
80.7,6.43
81.9,5.83
127.1,8.11
147.7,9.85
146.5,10.01
133.6,9.27
117.0,7.77
50.1,8.74
59.4,7.33
147.8,10.83
112.8,7.17
41.1,9.14
52.2,8.96
119.6,7.99
40.6,9.58
59.3,7.74
105.8,6.91
123.0,7.1
118.2,7.44
66.9,6.92
125.5,7.73
68.5,6.99
79.0,7.38
129.6,8.79
118.0,7.29
141.9,10.23
118.9,8.15
108.2,7.3
51.2,8.48
84.1,6.29
71.8,7.21
69.3,7.22
156.8,12.65
87.2,6.76
147.0,11.15
115.7,7.15
135.4,9.7
100.3,6.72
109.2,7.81
99.1,6.33
63.4,8.11
126.7,8.33
73.7,6.59
42.9,9.19
117.5,7.35
61.3,7.74
152.9,11.85
154.5,11.67
149.8,11.14
84.4,7.4
41.9,10.2
151.4,11.58
91.4,6.52
156.0,12.21
155.6,12.35
142.4,9.66
75.3,6.68
86.2,5.85
142.1,10.19
78.0,6.95
60.3,7.45
106.8,7.5
152.3,11.06
123.5,7.38
108.4,7.03
51.7,8.83
113.8,7.91
158.8,12.47
56.8,8.36
102.2,6.68
145.3,10.4
128.9,8.82
123.6,8.23
124.3,7.4
83.1,7.15
75.2,7.34
137.1,9.14
137.2,9.56
144.0,10.5
149.6,11.22
101.4,6.45
100.2,6.37
135.8,9.22
118.0,7.99
124.2,8.24
135.5,9.04
146.8,11.0
80.6,5.48
85.1,6.99
51.3,7.75
109.4,6.84
44.3,8.77
95.9,6.03
105.1,7.26
74.4,6.63
110.9,7.21
43.7,9.27
44.5,9.38
138.7,9.62
83.2,6.05
55.2,8.47
102.7,6.51
132.4,8.21
65.9,7.08
114.7,7.9
50.2,8.9
46.2,8.85
103.8,6.61
104.9,6.66
116.5,8.24
127.1,8.45
157.1,12.53
102.0,7.1
78.8,6.76
135.4,9.08
72.5,6.82
92.7,6.48
49.4,8.63
43.0,9.66
155.5,12.1
140.3,10.08
123.5,7.93
89.1,6.53
60.8,6.81
58.8,8.13
70.0,7.16
105.9,7.23
125.8,7.0
119.2,8.45
73.6,6.79
154.6,12.37
128.5,8.02
106.5,7.1
113.4,6.79
90.4,6.25
69.7,7.8
82.7,6.49
130.9,8.77
41.7,9.88
53.9,8.39
45.5,9.13
44.9,9.29
142.7,11.07
124.4,8.02
96.9,6.64
51.7,8.82
99.0,7.05
96.8,7.04
60.8,7.87
92.1,6.05
87.8,7.16
113.9,6.78
116.2,7.51
45.4,8.78
85.0,6.51
115.1,7.45
100.4,6.77
142.8,10.29
119.0,8.24
59.6,7.89
48.5,8.64
117.1,7.84
43.2,9.83
110.3,6.54
152.8,11.87
109.1,7.25
86.6,6.4
117.2,8.01
95.0,6.47
105.5,6.86
153.0,11.59
86.3,6.52
155.3,11.61
148.6,10.39
63.5,8.05
48.3,8.42
52.1,7.97
42.2,8.61
51.3,8.19
122.0,7.3
48.5,9.39
78.3,7.08
141.4,9.66
42.8,10.3
137.7,9.86
73.8,6.71
54.2,7.17
123.6,8.88
115.5,6.79
145.3,9.82
128.2,8.81
136.4,10.28
73.8,7.39
61.3,7.8
130.1,8.83
136.8,9.69
158.9,12.97
89.5,6.61
84.6,6.58
133.2,8.9
80.9,6.31
151.7,11.34
143.0,9.48
91.5,6.46
130.1,8.2
130.5,8.2
52.4,8.41
148.3,11.48
100.6,7.01
139.2,9.02
78.4,6.28
147.5,11.17
86.7,6.12
41.3,9.49
148.6,11.19
51.0,8.09
78.3,6.72
154.0,11.29
154.1,11.6
108.8,7.09
115.8,6.73
93.8,6.7
75.2,6.78
79.4,6.87
120.7,7.81
