SqFt_Living,SqM_Living,Total_Rooms,Bathrooms,Luxury_Score,Price_USD
1660,154.21898,6,2,84.5299953142657,298808
4572,424.752516,12,2,26.143512582630446,730570
3892,361.578476,10,3,4.080444391818411,619401
1266,117.61519799999999,4,1,74.19017878131254,226211
4244,394.280332,12,1,11.528028899321685,684964
3971,368.917813,10,3,32.1770392726838,644706
3719,345.506257,10,1,1.3778962783103672,593762
930,86.39979,3,2,68.48527875776038,178138
2485,230.863955,7,3,17.546069135650903,434100
1569,145.764807,4,3,65.87295855947416,307891
3191,296.453473,9,1,99.18251909961604,530352
3233,300.355399,10,3,8.194416289391611,550607
1984,184.319552,5,1,8.630723183194608,332764
4185,388.799055,11,1,34.69762917400082,681385
4917,456.804051,13,1,86.77226491088287,765560
3704,344.112712,10,1,22.337457010341854,600368
1274,118.358422,5,1,36.67740417310441,229363
1882,174.843446,5,3,7.782035256070977,331189
3358,311.968274,10,2,76.55237383463005,560670
2847,264.494841,9,2,41.422327933185656,477219
3547,329.526941,9,3,76.16562457302344,601518
1775,164.902825,6,3,90.45717659033271,320863
2606,242.105218,8,2,24.043551563027588,444244
989,91.881067,4,2,80.93220700365518,223024
3534,328.319202,10,2,6.850295117747074,550317
3805,353.495915,10,2,89.98589142984449,617039
2699,250.745197,7,2,65.426086208316,446857
2067,192.030501,7,1,87.5484456896968,346179
2328,216.278184,6,3,1.0186515561016078,387283
4002,371.797806,11,1,17.739025965243258,654344
4356,404.685468,11,2,39.58617935522272,723031
4690,435.71507,12,2,38.57078743409714,752806
1446,134.337738,4,2,23.446307909427556,256725
3688,342.626264,11,1,38.77958204685281,607999
3235,300.541205,9,1,13.756022488025227,487541
1400,130.0642,4,2,41.86335179733658,242544
3163,293.852189,8,1,80.43307858676715,490712
2861,265.795483,8,1,48.42793624723177,457850
1041,96.712023,4,2,2.7820088055762837,185201
2841,263.937423,9,1,42.7229601163455,491859
3624,336.680472,11,3,3.6903265929935722,547922
3412,316.985036,10,3,96.65809765997302,569881
2163,200.949189,6,3,13.617941982864028,381467
2278,211.633034,7,3,71.06114430673125,407073
3356,311.782468,9,2,97.3048559663165,584787
1575,146.322225,4,2,82.77786611499062,295221
4814,447.235042,13,2,70.23222213749416,781760
834,77.48110199999999,3,3,84.10663004057592,159343
3952,367.152656,10,3,98.19807063280213,642615
